HomeTeam,AwayTeam,FTHG,FTAG,FTR
Juventus,Bologna,2,0,H
Lecce,Fiorentina,1,1,D
Napoli,Cremonese,4,0,H
Parma,Pisa,1,0,H
Bologna,Roma,0,2,A
Verona,Lecce,0,0,D
Fiorentina,Sassuolo,0,0,D
Genoa,Como,0,2,A
Torino,Inter,2,2,D
Milan,Juventus,0,0,D
Cagliari,Atalanta,3,2,H
Lazio,Udinese,3,3,D
Pisa,Lecce,1,2,A
Udinese,Torino,2,0,H
Como,Napoli,0,0,D
Atalanta,Genoa,0,0,D
Bologna,Cagliari,0,0,D
Sassuolo,Milan,2,0,H
Juventus,Verona,1,1,D
Inter,Parma,2,0,H
Cremonese,Lazio,1,2,A
Roma,Fiorentina,4,0,H
Torino,Sassuolo,2,1,H
Cagliari,Udinese,0,2,A
Lazio,Inter,0,3,A
Lecce,Juventus,0,1,A
Verona,Como,0,1,A
Cremonese,Pisa,3,0,H
Fiorentina,Genoa,0,0,D
Parma,Roma,2,3,A
Milan,Atalanta,2,3,A
Napoli,Bologna,2,3,A
Como,Parma,1,0,H
Genoa,Milan,1,2,A
Juventus,Fiorentina,0,2,A
Pisa,Napoli,0,3,A
Roma,Lazio,2,0,H
Inter,Verona,1,1,D
Atalanta,Bologna,0,1,A
Cagliari,Torino,2,1,H
Sassuolo,Lecce,2,3,A
Udinese,Cremonese,0,1,A
Fiorentina,Atalanta,1,1,D
Bologna,Inter,3,3,D
Lazio,Pisa,2,1,H
Parma,Sassuolo,1,0,H
Napoli,Udinese,1,0,H
Cremonese,Como,1,4,A
Lecce,Genoa,1,0,H
Milan,Cagliari,1,2,A
Torino,Juventus,2,2,D
Verona,Roma,0,2,A
Birmingham,Ipswich,1,1,D
Charlton,Watford,1,0,H
Coventry,Hull,0,0,D
Southampton,Wrexham,2,1,H
Middlesbrough,Swansea,1,0,H
Norwich,Millwall,1,2,A
Oxford,Portsmouth,0,1,A
QPR,Preston,1,1,D
Stoke,Derby,3,1,H
West Brom,Blackburn,1,0,H
Sheffield United,Bristol City,1,4,A
Leicester,Sheffield Weds,2,1,H
Derby,Coventry,3,5,A
Portsmouth,Norwich,1,2,A
Wrexham,West Brom,2,3,A
Blackburn,Birmingham,1,2,A
Bristol City,Charlton,0,0,D
Millwall,Middlesbrough,0,3,A
Preston,Leicester,2,1,H
